draft,vol,lcg,tcg,vcg,FSM
0.1,0.8086725052404307,103.0575394959194,1.2533363853718055E-17,0.0526112737003633,0
0.2,1.7863176196328396,103.08880681700587,1.4861837276861832E-17,0.10666460476315678,0
0.30000000000000004,2.873796055060671,103.10761415851385,1.3293804777510854E-17,0.16137657149946685,0
0.4,4.050666606036542,103.12087509614534,1.0973045115182935E-17,0.21655759833652138,0
0.5,5.310373839311564,103.13058391233905,1.5069206720599532E-17,0.2722744216590828,0
0.6,6.647297199610089,103.13830667453522,1.263617819601056E-17,0.32844741549294443,0
0.7,8.058475476941796,103.14474632279402,1.453125915263787E-17,0.3850607476913851,0
0.7999999999999999,9.543022657367828,103.15023801942918,7.119458425240043E-18,0.44212924659328334,0
0.8999999999999999,11.100459923174848,103.15503256071426,6.109094206609995E-18,0.49964829967846336,0
0.9999999999999999,12.730374755491146,103.1593074437831,1.485615619932471E-17,0.5575990056790138,0
1.0999999999999999,14.431778993725127,103.16314978331185,1.3395342424463424E-17,0.615938273755616,0
1.2,16.2029408641009,103.16664581939834,1.0331301776582568E-17,0.6746037484850828,0
1.3,18.042165023533144,103.16987190240866,1.1011862833274325E-17,0.7335460058494117,0
1.4000000000000001,19.947940228408704,103.17281022152375,1.417066087092819E-17,0.792725972454504,0
1.5000000000000002,21.91737533705741,103.17553857672007,9.498064081300047E-18,0.8520708077165712,0
1.6000000000000003,23.947506326678404,103.17810765752513,1.3747982188697409E-17,0.9115206315865746,0
1.7000000000000004,26.03439337315461,103.18051866453737,1.1834237248071781E-17,0.970998570322666,0
1.8000000000000005,28.174187745436463,103.1828098792427,1.0935441708960845E-17,1.0304434772748652,0
1.9000000000000006,30.36366792341405,103.18497719493604,1.055305260765575E-17,1.0898209160825065,0
2.0000000000000004,32.60130341611055,103.18702739153466,1.3268742021843265E-17,1.1491400095317923,0
2.1000000000000005,34.88387386743938,103.18900330082988,1.8538573303188338E-17,1.2083649578296956,0
2.2000000000000006,37.20847541840918,103.19088795116677,1.5298155449552743E-17,1.267471602452774,0
2.3000000000000007,39.574328258529924,103.19266935683572,1.037068733152825E-17,1.326487218647631,0
2.400000000000001,41.9794774098422,103.19436600282194,1.557215345807047E-17,1.3854047369505222,0
2.500000000000001,44.422063861647416,103.19599859159027,1.1760143618706275E-17,1.444218694182409,0
2.600000000000001,46.9003493503732,103.19755092934226,1.2568878933877273E-17,1.5029256286925274,0
2.700000000000001,49.413107161801754,103.1990379182652,1.5448420360233562E-17,1.5615319316932643,0
2.800000000000001,51.959488024661525,103.20045410047818,2.0414659048894317E-17,1.6200501646698202,0
2.9000000000000012,54.5386322047529,103.20180550498267,1.2463704769371868E-17,1.6784892496621662,0
3.0000000000000013,57.14957980144588,103.20308441483444,1.3750145803127885E-17,1.7368539115281063,0
3.1000000000000014,59.79131056157385,103.20430239888134,2.0558320036163084E-17,1.7951457159830382,0
3.2000000000000015,62.4627708060373,103.20546495055855,1.1500171363969291E-17,1.8533646667927444,0
3.3000000000000016,65.16353947554605,103.20657288710066,1.1270263235644694E-17,1.9115226786866966,0
3.4000000000000017,67.89220735497307,103.20761185686668,1.5804844325930148E-17,1.9696094655709362,0
3.5000000000000018,70.64851975972739,103.2085846671678,1.9125274157243772E-17,2.0276385187225343,0
3.5999928000000003,73.43160358550242,103.20949653958398,1.8543405685294875E-17,2.08560855138719,0
