draft,vol,lcg,tcg,vcg,FSM
5.8948576,0.3547153394096227,15.200071200000004,5.51204536373342,5.85891387320698,0.5078340162162163
5.9948576,0.7270198322804371,15.200071200000002,5.511491358761281,5.909014060835675,0.51
6.094857599999999,1.0993243251512514,15.2000712,5.511312599811566,5.959114121377169,0.51
6.194857599999999,1.4716288180220658,15.2000712,5.511224288615145,6.009214151286146,0.51
6.2948575999999985,1.8439333108928753,15.200071200000004,5.511171638855087,6.059314169117429,0.51
6.394857599999998,2.21623780376369,15.200071200000002,5.5111366782998354,6.1094141809577645,0.51
6.494857599999998,2.588542296634504,15.200071200000004,5.511111774348068,6.159514189392111,0.51
6.594857599999997,2.9608467895053185,15.200071200000002,5.511093133370268,6.209614195705387,0.51
6.694857599999997,3.3331512823761327,15.200071199999998,5.51107865669177,6.259714200608295,0.51
6.794857599999997,3.7054557752469472,15.200071200000002,5.5110670890926325,6.3098142045259795,0.51
6.894857599999996,4.077760268117761,15.200071200000004,5.511057633765353,6.359914207728282,0.51
6.994857599999996,4.450064760988576,15.200071200000002,5.511049760554745,6.410014210394765,0.51
7.094857599999996,4.822369253859385,15.200071200000002,5.5110431030252895,6.460114212649527,0.51
7.194857599999995,5.1946737467302,15.200071200000002,5.511037399791789,6.510214214581067,0.51
7.294857599999995,5.5669782396010135,15.200071200000004,5.511032459392045,6.560314216254248,0.51
7.394857599999995,5.9392827324718285,15.200071200000004,5.51102813837115,6.610414217717684,0.51
7.494857599999994,6.311587225342643,15.200071200000002,5.511024327122339,6.660514219008471,0.51
7.594857599999994,6.683891718213458,15.200071199999998,5.51102094046002,6.710614220155456,0.51
7.6948575999999935,7.056196211084271,15.200071200000004,5.5110179111771025,6.760714221181407,0.51
7.794857599999993,7.428500703955086,15.200071200000002,5.5110151855397485,6.810814222104524,0.51
7.894857599999993,7.8008051968259,15.200071200000002,5.511012720072205,6.860914222939508,0.51
7.9948575999999925,8.17310968969671,15.200071200000002,5.511010479220439,6.911014223698441,0.51
8.094857599999992,8.545414182567525,15.2000712,5.5110084336264205,6.961114224391238,0.51
8.194857599999992,8.917718675438339,15.200071200000002,5.511006558834785,7.011214225026175,0.51
8.2369152,9.074301009832004,15.200071200000002,5.511005816298934,7.032285082877665,0
