draft,vol,lcg,tcg,vcg,FSM
0.1,0.29747143937071796,8.704434064234068,0,0.05647706989657222,0.9250000000000003
0.2,0.7280534981223924,8.691213772797392,0,0.11278149016523548,1.8033333333333332
0.30000000000000004,1.2170766988069623,8.683683002511922,0,0.16847186495607058,2.6678571428571436
0.4,1.753357446278615,8.674896558865118,0,0.22440319560278327,3.480769230769231
0.5,2.323346177958056,8.667661441471672,0,0.2800745714000897,4.236666666666666
0.6,2.922227380756397,8.661919864883952,0,0.3356996811706665,4.97
0.7,3.548229532597928,8.656816130215152,0,0.39144139865561833,5.679090909090909
0.7999999999999999,4.199615726986859,8.652308004549763,0,0.44733695738815155,6.4159999999999995
0.8999999999999999,4.874742642349901,8.648508631167955,0,0.5033792138518344,7.110999999999999
0.9999999999999999,5.573247247733572,8.645233352269427,0,0.5596281158853759,7.755999999999999
1.0999999999999999,6.295129543137873,8.642344197402537,0,0.6161324237635446,8.350999999999999
1.2,7.035974014038026,8.63976243936644,0,0.672584195581132,8.89
1.2021312,7.03729625903789,8.63994285580471,0,0.6726838769749391,0
