draft,vol,lcg,tcg,vcg,FSM
5.9000392,0.11843873391013185,9.680045086143464,-5.3466105163647555,5.8632934865024655,0
6.0000392,0.2583952064441801,9.672769742377437,-5.386989749837342,5.917401719885632,0
6.100039199999999,0.4191761049061985,9.666218872527926,-5.4278845839528,5.973328198675294,0
6.200039199999999,0.5995201559754589,9.660780393145009,-5.468270918892513,6.030447921347146,0
6.300039199999999,0.7986130958605698,9.656054501202837,-5.508107253566901,6.088501861980822,0
6.400039199999998,1.0153112918864462,9.65217811922924,-5.547002652771555,6.147170369643085,0
6.500039199999998,1.248161281543576,9.64881488204805,-5.584393146938715,6.2061805144468325,0
6.600039199999998,1.4952849179259236,9.645877525518507,-5.619678875362018,6.265249548813853,0
6.700039199999997,1.75510275903916,9.643261408954995,-5.652705609518648,6.32423823646566,0
6.800039199999997,2.026690555724409,9.64097601246507,-5.6837750200299935,6.3831551448315444,0
6.900039199999997,2.309959753260221,9.638954972623806,-5.713489490547459,6.442131160049644,0
7.000039199999996,2.604910351646596,9.637139236897006,-5.742266560083274,6.501252256616388,0
7.100039199999996,2.911531443882086,9.6354858235299,-5.770374853361156,6.56056472854953,0
7.2000391999999955,3.229349782491724,9.633936975997324,-5.797790520774082,6.620013481738996,0
7.300039199999995,3.557936469609205,9.632493845783312,-5.82452335015759,6.679562699861456,0
7.400039199999995,3.896990779388961,9.631173466497312,-5.850627651091892,6.7391975386108935,0
7.5000391999999945,4.245869080621097,9.629938405477416,-5.87600991132812,6.798850014289528,0
7.600039199999994,4.604181136849711,9.628779337572784,-5.900688502231576,6.858501753798499,0
7.700039199999994,4.97168143492849,9.62770106859075,-5.92472648716416,6.918157577338272,0
7.800039199999993,5.3483694238619,9.626692569430778,-5.948245008615518,6.977853381700239,0
7.900039199999993,5.734134562427377,9.625754170270755,-5.971307237272098,7.03759909925296,0
8.000039199999993,6.128683420915376,9.624880831656398,-5.99391022885962,7.097375116970448,0
8.100039199999992,6.531847464509874,9.624051916065785,-6.01608289633641,7.157180923154505,0
8.200039199999992,6.943460389015268,9.62326789895951,-6.037851246478816,7.21701431132633,0
8.2500216,7.152081631604686,9.622899740408677,-6.048528786460415,7.246898317655405,0
